avg_tasks,mean_completion_time,mean_completion_time2,mean_completion_time3,mean_power_consumption,mean_power_consumption2,mean_stored_in_edge,mean_stored_in_cloud,avg_execution_time_sec,avg_congestion_occurrences,avg_collocated_ratio,avg_parallelism_ratio
2,22,24,24,22.66478377,22.66478377,1,0,4.27208904,0,0.429976489,1.519789964
3,34,37,37,21.66012101,21.66012101,0.999939394,6.06E-05,5.171243,0,0.576849036,1.710856286
4,48,51,51,23.08975356,23.08975356,0.999943946,5.61E-05,5.616518188,0,0.661159001,1.984575591
5,62,63,63,21.92234989,21.92234989,0.999136429,0.000863571,6.560258412,0,0.69265694,2.219529896
6,66,68,69,21.27600773,21.27600773,1,0,5.813078368,0,0.771268802,2.659211758
7,68,69,76,21.75664015,21.75664015,1,0,6.492841351,0,0.769570787,3.064864592
8,69,69,82,22.61731374,22.61731374,0.999914126,8.59E-05,7.455717456,0,0.797119352,3.204807553
9,71,72,73,21.49512172,21.49512172,0.99993895,6.11E-05,5.096376765,0,0.811826087,3.889150595
10,74,73,69,22.19467265,22.19467265,0.999851652,0.000148348,6.383018386,0,0.834366847,4.195621883
11,75,75,72,24.50575404,22.38643242,0.999941725,5.83E-05,6.424392045,0,0.838441481,4.609667246
12,76,76,75,24.38232206,23.2212591,0.998633434,0.001366566,6.751002789,0,0.797848067,4.705379839
13,77,77,98,23.37170317,23.21114588,1,0,5.057771373,0,0.896362839,5.219503061
14,82,82,77,23.9290365,21.83717762,0.999938424,6.16E-05,4.966032791,0,0.937001114,5.756759887
15,87,87,87,22.4366986,21.36828438,0.999907407,9.26E-05,5.718993342,0,0.884567538,5.744937669
16,89,89,94,23.00193329,20.95422218,1,0,6.023219121,0,0.945283256,6.553738409
17,89,89,89,23.61751265,21.54048824,0.999877995,0.000122005,6.689408708,0,0.850743196,6.439109464
18,90,90,89,23.94851553,23.76049098,0.997956375,0.002043625,7.199857664,0,0.865617673,6.455680039
19,94,94,68,22.22859344,22.12246994,0.995942812,0.004057188,8.34644227,0,0.877374103,7.47995557
20,98,98,90,24.43556188,24.22434465,0.999872881,0.000127119,7.960929811,0,0.891326224,8.492121394
